住所,法人名,更新日時,法人番号,法人種別,法人名(カナ),Twitter,Facebook,Instagram,創業年,紹介文,アイコン,事業概要,代表者名,取扱商品,営業品目,従業員数,採用予定,特許情報,背景画像,表彰情報,電話番号,代表の写真,取引先業種,設備と技術,設立年月日,企業規模詳細,キャッチコピー,企業紹介画像①,企業紹介画像②,企業紹介画像③,届出・認定情報,セールスポイント,企業ホームページ,店舗・事業所情報,主な商品・サービス,他社との連携を考える事業,特許,紹介の画像
,,2023-01-12T08:28:26+09:00,1            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区毛穴町４４番地３,株式会社サンミ,,1010001045273,,サンミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区戎島町４丁４５番地１ポルタスセンタービル１２階,新日本サーマルセラミックス株式会社,2018-04-17T15:00:00.000Z,1010001098016,301,シンニホンサーマルセラミックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市南区宮山台３丁１１番５号,株式会社クレッセント,2015-11-19T15:00:00.000Z,1010001130331,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区大豆塚町２丁２０－１０,株式会社Ｃｅｎｔｒａｌｉｔｙ　Ｊａｐａｎ,,1010001193254,,セントラリティージャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区上野芝向ヶ丘町２丁１２－３７Ｆｕｅｎｔｅ上野芝１０４号室,Ｐｉｎｎｙ株式会社,2022-05-27T00:00:00+09:00,1010001197676,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区平井９８０,株式会社Ｔ．Ｎ．Ｋ,,1010001211940,,ティーエヌケー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区金岡町１４１４番地２,株式会社ワカマツ,2023-04-14T00:00:00+09:00,1010001229512,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区深井中町１９５２番地２－１０９号,株式会社Ａ＆Ｂ,,1010401113869,,エーアンドビー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区霞ヶ丘町１丁２番２５号,株式会社ＳＣホールディングス,,1010401155110,,エスシーホールディングス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区松屋大和川通２丁２２番地１６,株式会社コネクト,,1010403010156,,コネクト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区大美野９１番地９８,株式会社ラビス,,1011001167611,,ラビス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都新宿区上落合２丁目１１番１号,ＴＯＷＡ　ＣＯＲＰＯＲＡＴＩＯＮ株式会社,2022-10-27T00:44:25.193+00:00,1011101014655,,トワ　コーポレションカブシキガイシャ,,,,,TOWA CORPORATIONは、主に健康食品やサプリメントに配合される成分を供給する原料メーカーです。安全性と機能性を検証した高性能エキスパウダーやグルテンフリー穀物をご提供します。またお客様の立場に立ったご提案も可能です。,https://img.sakacil.com/data/20221026/56f595f2-5e6d-4611-bf06-dae0a4ef680a.jpg,,橋本　顕,"マカ・エキスパウダー
キャッツクローエキスパウダー
エルカンプーレエキスパウダー
ミスカミスカ®
テフ（粒、パウダー、フレーク加工品）",099,19人,未定,,,,03-3362-6070,,食品メーカー、製薬メーカー,,1973-12-18,,トワの知恵を製品に…,,,,,,https://www.towacorp.co.jp/,[],,,,
大阪府堺市堺区竜神橋町１丁４番５－１２０１号,株式会社コテンゴテン,2019-03-27T15:00:00.000Z,1011101041253,301,コテンゴテン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区日置荘西町２丁３６－２,株式会社Ｃｏｕｒｏｎｎｅ,,1011101088328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区浜寺船尾町東３丁４４５,株式会社ａｔｓｕｍｉ,,1011101105314,,アツミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区中之町西１丁１－８メビウス宿院レジデンス１階,株式会社麻雀新聞,2024-04-16T09:54:15.732+09:00,1011401019750,,マージャンシンブン,,,,,,,,,,,,,,,,,,,,2016-09-01,,,,,,,,,[],,,,
大阪府堺市堺区宿院町東４丁１－２ヨークフェニックス１Ｆ,合同会社Ｓ＆Ｍ,2023-09-28T00:00:00+09:00,1011403001384,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区柳之町東１丁１番３－５０４号,株式会社ティーケーシー,,1012401040110,,ティーケーシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区堀上町２８８番地１１,一般社団法人超音波測定協会,,1012805001518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区北花田町２丁１２番地１,株式会社あやめ,2016-07-28T15:00:00.000Z,1013301037031,301,,,,,,,,,,,,,,商標 1件（SINAFU）,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区西野４８４番地３,Ｍ＆Ａ合同会社,2021-07-26T15:00:00.000Z,1013303004260,305,エムアンドエー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市美原区小寺４４５－２,株式会社ＫＡＹ,2022-04-25T22:46:26+09:00,1020001130751,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
